trial,owner,repo,api_type,response_time_ms,response_size_bytes,http_status
5,golang,go,GraphQL,382.044,219,200
5,kubernetes,kubernetes,REST,569.435,6600,200
5,kubernetes,kubernetes,GraphQL,427.922,252,200
5,nodejs,node,REST,457.658,6037,200
5,nodejs,node,GraphQL,417.502,243,200
5,django,django,GraphQL,384.604,248,200
5,django,django,REST,428.656,6209,200
5,rails,rails,REST,440.254,5969,200
5,rails,rails,GraphQL,399.273,208,200
5,laravel,laravel,GraphQL,455.867,387,200
5,laravel,laravel,REST,454.27,6228,200
5,flutter,flutter,GraphQL,498.244,276,200
5,flutter,flutter,REST,528.619,6655,200
5,denoland,deno,REST,456.749,6161,200
5,denoland,deno,GraphQL,382.912,242,200
5,rust-lang,rust,REST,547.685,6264,200
5,rust-lang,rust,GraphQL,472.535,258,200
5,apple,swift,GraphQL,428.882,227,200
5,apple,swift,REST,788.354,6249,200
5,libp2p,go-libp2p,GraphQL,430.417,222,200
5,libp2p,go-libp2p,REST,426.332,6195,200
5,python,cpython,GraphQL,428.222,231,200
5,python,cpython,REST,731.862,6080,200
6,facebook,react,REST,733.442,6035,200
6,facebook,react,GraphQL,422.628,249,200
6,vuejs,vue,REST,535.96,5949,200
6,vuejs,vue,GraphQL,424.497,274,200
6,microsoft,vscode,GraphQL,459.564,223,200
6,microsoft,vscode,REST,532.062,6517,200
6,torvalds,linux,REST,499.965,5079,200
6,torvalds,linux,GraphQL,387.687,215,200
6,tensorflow,tensorflow,REST,565.738,6822,200
6,tensorflow,tensorflow,GraphQL,425.683,254,200
6,twbs,bootstrap,REST,425.128,6205,200
6,twbs,bootstrap,GraphQL,431.47,312,200
6,ohmyzsh,ohmyzsh,REST,533.802,6661,200
6,ohmyzsh,ohmyzsh,GraphQL,425.073,544,200
6,angular,angular,GraphQL,356.922,241,200
6,angular,angular,REST,503.558,6473,200
6,golang,go,GraphQL,421.269,219,200
6,golang,go,REST,461.77,6125,200
6,kubernetes,kubernetes,GraphQL,497.006,252,200
6,kubernetes,kubernetes,REST,531.152,6600,200
6,nodejs,node,GraphQL,422.513,243,200
6,nodejs,node,REST,486.064,6037,200
6,django,django,GraphQL,440.492,248,200
6,django,django,REST,469.739,6209,200
6,rails,rails,GraphQL,370.187,208,200
6,rails,rails,REST,480.272,5969,200
6,laravel,laravel,GraphQL,424.807,387,200
6,laravel,laravel,REST,529.54,6228,200
6,flutter,flutter,REST,467.159,6655,200
6,flutter,flutter,GraphQL,485.305,276,200
6,denoland,deno,REST,528.26,6161,200
